,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
55,1,0,0,0,71,1,2,1,2,2,2,2,2,2,1,1,0,0.9770802192326855,0.9566985921993999,0
56,0,0,0,0,45,1,2,1,0,0,2,0,0,2,0,1,1,0.7080219232685601,0.4815774290330025,0
57,1,0,0,0,4,1,0,2,1,1,1,1,1,1,0,0,3,0.024414549078226183,0.006260096930533118,0
58,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,0.013452914798206289,9.231479344564949e-05,1
59,1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,0.8081714000996512,0.545851603969536,1
60,1,0,0,0,34,1,0,0,0,2,0,0,0,0,0,1,2,0.314399601395117,0.1979459958458343,0
61,0,0,1,1,18,1,0,0,0,0,2,2,0,0,1,1,1,0.3602391629297459,0.10827371336256636,0
62,0,0,0,0,8,1,0,0,2,0,0,2,0,0,1,0,0,0.3587443946188341,0.049498038310639286,0
63,1,0,0,0,7,0,1,0,0,0,2,2,0,0,1,1,1,0.17189835575485798,0.02662704823447958,0
64,1,0,1,1,5,1,2,1,2,0,2,0,0,0,0,1,2,0.6601893373193822,0.05019039926148166,1
65,0,0,0,0,39,1,0,0,0,0,0,2,0,2,1,0,2,0.4090682610861983,0.2527521347795984,0
66,1,0,1,1,29,1,0,2,1,1,1,1,1,1,0,1,3,0.023916292974588915,0.07339603046388185,0
67,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,3,0.3682112605879423,0.0042003231017770605,1
68,1,0,0,1,31,0,1,0,0,0,0,0,0,0,0,0,1,0.06726457399103139,0.08889914608816064,0
69,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0.06028898854010961,0.00226748211400877,0
70,1,0,1,0,63,1,0,0,2,2,0,2,2,0,1,0,1,0.5236671649227703,0.5111931687052851,0
71,1,0,0,0,20,1,0,1,0,0,0,0,2,0,0,0,2,0.6033881415047334,0.18722594045695823,0
72,0,0,1,0,71,1,2,0,0,2,2,2,2,2,2,1,1,0.6482311908320877,0.6780175398107546,0
73,0,0,0,0,66,1,0,0,2,2,2,0,0,0,2,1,0,0.42750373692077726,0.4614181860143088,0
74,1,0,0,0,8,1,0,0,0,0,0,0,0,0,0,1,3,0.26806178375685097,0.04841910916224325,1
75,0,0,0,0,2,1,2,1,0,0,0,0,2,2,0,1,2,0.7747882411559541,0.018001384721901686,1
76,1,0,1,0,3,0,1,0,2,0,0,2,0,0,0,0,3,0.16791230692575984,0.009496884375721208,0
77,0,0,0,0,47,1,0,2,1,1,1,1,1,1,2,0,1,0.019930244145490772,0.11666282021693977,0
78,1,0,0,0,2,0,1,0,0,0,2,0,2,2,0,1,2,0.3089187842551071,0.008256404338795292,1
79,1,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,0.5555555555555556,0.006369720747749827,0
80,0,0,0,0,7,1,0,2,1,1,1,1,1,1,1,0,3,0.019930244145490772,0.0127336718209093,0
81,1,0,1,1,69,1,2,1,0,2,2,0,2,2,2,1,2,0.8644743398106627,0.8399434571890145,0
82,1,0,0,0,5,1,2,1,0,2,2,0,2,2,0,0,2,0.8674638764324862,0.06136625894299562,0
83,0,0,1,0,71,1,0,2,1,1,1,1,1,1,2,0,3,0.013452914798206289,0.16128548349873068,0
84,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,1,1,0.5585450921773791,0.006404338795291945,1
85,0,0,1,1,14,1,0,1,0,2,0,2,0,2,0,1,1,0.711509715994021,0.1372663281790907,1
86,0,0,0,0,29,1,0,2,1,1,1,1,1,1,0,0,1,0.010961634280019922,0.0672513270251558,0
87,1,0,0,0,56,1,0,0,0,2,2,2,2,2,2,1,1,0.6332835077229696,0.5210766212785599,0
88,1,1,1,0,6,1,0,1,0,0,2,0,2,2,0,1,2,0.7722969606377679,0.06403761827832911,1
89,1,1,1,0,1,0,1,0,0,2,0,0,2,0,0,0,2,0.21873442949676133,0.0024694207246711286,1
90,0,0,1,1,46,1,0,1,0,0,2,2,0,2,1,0,0,0.72446437468859,0.4867066697438265,0
91,1,0,0,0,20,1,0,1,2,2,2,2,2,2,0,1,0,0.896362730443448,0.2521232402492499,0
92,0,1,0,0,20,1,2,1,0,0,0,0,0,2,0,1,1,0.6731439960139511,0.197172859450727,1
93,0,1,0,0,37,1,2,1,0,0,0,0,0,0,0,1,2,0.5779770802192327,0.3257269789983845,1
94,0,0,1,1,24,1,0,2,1,1,1,1,1,1,2,1,3,0.014449427005480797,0.05484075698130626,0
95,1,0,1,1,29,1,0,1,2,0,0,0,2,2,0,0,1,0.7613353263577479,0.30352527117470574,1
96,0,0,1,0,21,1,2,1,2,0,2,0,2,2,0,1,0,0.8584952665670156,0.25172513270251556,1
97,1,0,1,1,19,1,2,1,0,0,2,2,2,2,0,0,2,0.8475336322869955,0.2300830833141011,1
98,0,0,0,0,54,1,0,0,2,0,2,2,2,2,2,0,2,0.621325361235675,0.4940168474498038,0
99,1,0,0,0,2,1,0,2,1,1,1,1,1,1,1,0,1,0.010463378176382654,0.0010962381721670899,1
100,0,1,1,0,27,1,2,1,2,0,0,2,2,2,0,1,0,0.857498754359741,0.3287502884837295,1
101,1,0,0,0,46,0,1,0,2,0,2,2,2,2,2,1,0,0.4235176880916791,0.33171013154858064,0
102,0,0,0,0,18,1,0,2,1,1,1,1,1,1,0,0,3,0.01395117090184353,0.04303023309485345,0
103,0,0,1,1,52,1,0,2,1,1,1,1,1,1,2,0,3,0.01594419531639263,0.1213593353334872,0
104,0,0,1,1,43,1,0,0,0,0,0,0,2,0,0,0,2,0.37767812655705035,0.2862335564274175,1
105,0,0,0,0,3,1,0,2,1,1,1,1,1,1,0,0,3,0.016940707523667137,0.004523424878836834,0
106,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,1,0.2645739910313901,0.01816293561043157,0
107,1,0,1,1,6,1,0,1,0,2,0,0,0,2,0,1,1,0.6507224713502741,0.05293676436648974,1
108,1,1,1,0,35,1,2,1,0,0,2,0,2,2,0,1,2,0.8226208271051321,0.3944957304408031,0
109,0,0,1,1,68,0,1,0,0,2,2,2,2,2,2,0,1,0.4190333831589437,0.47198246018924533,0
110,0,0,0,0,5,1,0,1,0,2,0,0,2,2,0,1,2,0.7772795216741405,0.05696399723055621,1
111,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0.26258096661684105,0.01198938379875375,0
112,0,1,0,0,4,1,0,1,0,2,0,0,0,0,0,0,2,0.5430991529646239,0.034496884375721217,0
113,0,0,0,0,4,1,2,2,1,1,1,1,1,1,2,1,1,0.070254110612855,0.011325871220863145,0
114,0,0,1,0,2,1,0,1,0,2,2,0,0,0,0,0,0,0.6123567513702043,0.016870528502192474,1
115,1,0,1,1,40,1,2,1,2,2,0,2,2,2,0,1,1,0.9152964623816642,0.5135356565889684,0
116,1,0,0,0,10,1,0,1,0,0,0,2,2,2,0,1,1,0.7658196312904832,0.09765751211631665,0
117,1,1,0,0,24,1,2,1,0,2,0,0,0,0,0,1,2,0.6203288490284006,0.23882414031848603,0
118,0,1,0,0,72,1,2,1,2,2,2,2,0,2,2,1,0,0.8883906327852518,0.8919859219939995,0
119,0,0,1,0,24,1,0,1,0,2,2,0,2,2,0,1,1,0.807673143996014,0.2783925686591276,1
120,0,0,0,0,72,1,2,0,0,2,2,2,2,2,2,0,0,0.6811160936721474,0.730636972074775,0
121,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,2,0.3383158943697061,0.003854142626355874,1
122,0,0,0,0,18,1,2,1,0,0,0,2,2,0,0,1,2,0.6985550572994519,0.1869951534733441,1
123,1,0,0,0,4,0,1,0,0,0,0,2,0,2,0,1,2,0.2172396611858495,0.016576275098084466,0
124,1,1,0,0,36,1,2,1,2,0,0,0,2,0,0,1,2,0.7234678624813153,0.3655550426955919,1
125,0,0,0,0,11,1,2,1,0,0,0,0,0,0,0,0,2,0.5680119581464873,0.10037502884837296,0
126,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,0.5112107623318386,0.0058562197092084005,1
127,1,0,0,0,42,1,2,1,0,0,2,0,0,0,0,0,2,0.6143497757847535,0.38017539810754675,0
128,0,1,1,0,16,1,2,1,0,0,0,0,0,2,0,1,1,0.6686596910812157,0.15651396261250866,1
129,1,0,0,0,50,1,2,1,2,2,2,2,2,2,1,0,1,0.9576482311908321,0.6660858527579046,0
130,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0.06327852516193325,0.00066928225248096,1
131,0,0,1,1,38,1,0,2,1,1,1,1,1,1,2,1,3,0.016940707523667137,0.085114239556889,0
132,1,1,1,1,24,1,2,1,2,0,0,0,0,0,0,1,2,0.6138515196811161,0.21220286175859682,0
133,1,0,1,1,31,1,2,0,0,0,0,0,0,2,0,0,0,0.41305430991529646,0.20848142164781908,0
134,1,0,0,1,8,1,0,2,1,1,1,1,1,1,0,0,0,0.011958146487294458,0.016201246249711514,0
135,0,1,1,0,43,1,2,1,0,0,2,2,2,2,1,1,2,0.8898854010961634,0.521013154858066,1
136,0,0,1,0,57,1,0,0,2,2,0,2,2,0,2,1,1,0.5191828599900349,0.4737883683360258,0
137,0,0,1,1,13,1,0,2,1,1,1,1,1,1,2,0,3,0.025909317389138015,0.029258019847680592,0
138,1,0,0,0,40,1,0,1,0,2,0,2,0,2,1,1,1,0.7110114598903836,0.4003404108008308,0
139,1,0,1,1,23,1,0,2,1,1,1,1,1,1,1,0,3,0.01395117090184353,0.04824601892453266,0
140,0,0,1,1,72,1,2,0,2,2,2,0,2,2,2,1,1,0.6512207274539112,0.6854950380798523,0
141,0,0,0,0,55,1,2,1,2,0,2,0,0,0,1,1,1,0.6576980568011959,0.5274694207246712,0
142,1,0,1,0,48,1,2,1,2,2,2,0,2,2,0,1,0,0.9287493771798705,0.6111585506577429,0
143,1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,0.5650224215246638,0.006479344564966536,1
144,0,0,1,1,36,1,2,1,0,2,2,0,2,0,0,1,0,0.7882411559541604,0.3968497576736672,1
145,1,0,0,0,11,1,0,0,0,0,2,0,2,2,0,1,2,0.5092177379172894,0.0800196168936072,0
146,0,0,0,0,1,1,2,1,0,0,0,0,2,0,0,1,2,0.6611858495266567,0.007592891760904685,0
147,0,0,1,0,53,1,2,1,0,2,0,0,2,2,0,1,1,0.7987045341305432,0.5920493884144934,1
148,1,0,1,0,70,0,1,0,0,2,2,2,0,2,1,1,0,0.32685600398604886,0.41730325409646896,0
149,1,0,0,0,12,1,0,1,0,0,2,0,2,2,1,0,2,0.7717987045341306,0.13445649665358875,0
150,1,0,1,0,22,1,0,1,0,0,2,0,2,2,0,1,1,0.7618335824613852,0.21879759981537045,1
151,0,0,1,1,55,1,0,1,0,0,0,0,0,0,2,1,1,0.5062282012954659,0.44124163397184396,0
152,0,1,0,0,28,1,2,0,0,2,2,2,0,0,0,0,0,0.4603886397608371,0.21333948765289637,0
153,0,0,1,1,58,1,0,2,1,1,1,1,1,1,2,1,3,0.01594419531639263,0.13155435033464113,0
154,1,0,0,0,19,1,0,2,1,1,1,1,1,1,1,1,1,0.014449427005480797,0.04243018693745673,0
155,0,0,0,0,19,1,2,1,2,2,0,0,0,2,0,1,2,0.7663178873941207,0.20429840756981307,1
156,1,0,0,0,31,1,0,0,2,2,2,2,2,0,0,1,0,0.5401096163428003,0.24664781906300487,0
157,0,0,0,0,13,1,2,1,0,2,2,2,0,0,0,0,2,0.7090184354758347,0.12849642280175397,1
158,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,0.019431988041853504,0.0001615508885298867,1
159,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3,0.5221723966118585,0.005983152550196169,1
160,0,1,0,0,18,1,0,1,0,2,0,0,0,0,0,1,2,0.5510712506228201,0.1547022847911378,0
161,1,0,0,0,13,1,0,2,1,1,1,1,1,1,1,1,3,0.016940707523667137,0.027486729748442188,0
162,0,0,1,1,2,1,0,2,1,1,1,1,1,1,1,0,3,0.02042850024912804,0.0015116547426725128,0
163,1,0,1,0,70,1,0,0,2,2,2,2,0,0,2,0,1,0.46537120079720984,0.5197842141703208,0
164,1,1,1,0,44,1,0,2,1,1,1,1,1,1,2,1,1,0.010961634280019922,0.09559773828756059,0
165,0,0,1,1,4,1,0,2,1,1,1,1,1,1,0,0,3,0.025909317389138015,0.005088852988691437,0
166,1,0,1,0,65,1,2,0,2,0,2,2,0,2,2,0,0,0.5769805680119582,0.5666685898915301,0
167,0,1,0,0,71,1,2,1,2,2,0,2,2,0,1,1,1,0.8111609367214749,0.8265001153934918,0
168,0,0,1,1,64,1,2,0,0,2,0,0,0,0,1,1,0,0.354758345789736,0.39015116547426726,0
169,0,0,1,0,28,1,0,1,2,0,0,0,2,2,0,1,3,0.7384155455904334,0.2981883221786291,1
170,0,1,0,0,16,1,2,1,0,0,0,0,2,2,0,1,2,0.7787742899850524,0.18029079159935382,1
171,0,0,1,1,70,1,2,1,2,2,2,2,2,2,2,1,0,0.9561534628799204,0.889118393722594,1
172,0,0,1,1,39,1,0,1,0,0,2,2,0,0,0,1,0,0.630293971101146,0.35639279944611124,0
173,1,0,0,0,19,1,0,0,0,0,0,0,0,0,0,1,0,0.2665670154459392,0.09774405723517195,0
174,0,0,0,0,60,1,0,1,2,0,2,2,2,2,0,1,0,0.8639760837070254,0.7175109623817216,0
175,1,0,1,0,51,1,2,1,0,2,0,0,0,2,1,1,1,0.7184853014449427,0.5303196399723056,0
176,0,1,0,0,56,1,2,1,2,2,2,0,2,2,1,0,2,0.9192825112107623,0.7062889453034848,0
177,1,0,1,0,66,1,2,1,0,2,2,0,2,2,0,1,1,0.8644743398106627,0.8209612277867528,1
178,0,0,1,1,58,0,1,0,0,0,2,2,2,2,2,1,1,0.37120079720976584,0.3632702515578121,0
179,0,0,1,1,69,1,0,0,0,2,2,2,0,0,1,0,0,0.40707523667164924,0.4749480729286868,0
180,0,0,0,0,27,1,0,0,0,2,0,2,0,0,0,1,3,0.37767812655705035,0.16392222478652205,0
181,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,2,0.3024414549078226,0.0034387260558504497,0
182,0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,3,0.017438963627304432,0.010431571659358412,0
183,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0.06776283009466866,0.019749596122778674,0
184,1,1,0,0,8,1,0,1,0,0,0,0,0,0,0,1,2,0.5127055306427504,0.06254904223401801,1
185,1,0,1,1,15,1,0,0,0,2,2,2,0,2,0,1,3,0.5107125062282013,0.12146318947611356,0
186,1,0,0,0,9,1,0,2,1,1,1,1,1,1,0,0,3,0.021425012456402576,0.018809139164551122,0
187,1,0,0,0,12,1,2,0,2,2,0,2,0,0,0,1,2,0.4882909815645242,0.09387260558504501,0
188,0,0,1,0,25,1,0,0,2,2,0,2,0,2,0,1,3,0.5261584454409567,0.20988922224786524,0
189,0,0,1,1,28,1,0,1,0,0,0,0,0,2,0,1,2,0.6258096661684106,0.25482344795753514,1
190,0,0,0,0,49,1,0,1,0,0,2,2,2,2,2,0,1,0.8211260587942204,0.5653069466882068,0
191,1,1,1,0,57,0,1,0,0,0,0,0,2,2,0,1,2,0.2650722471350274,0.29473228709900756,1
192,1,0,1,0,11,1,0,2,1,1,1,1,1,1,1,1,3,0.022919780767314407,0.019172628663743363,0
193,0,0,1,1,37,1,2,1,0,0,0,0,2,2,0,1,2,0.7673143996013951,0.38026194322640205,0
194,1,0,1,0,40,1,2,1,0,2,0,0,2,2,0,1,2,0.8276033881415048,0.4724555735056543,1
195,1,0,0,0,54,0,1,0,2,0,0,2,2,0,2,0,1,0.26856003986048826,0.28176205861989384,0
196,1,0,1,0,12,1,0,1,0,2,0,0,0,2,0,1,1,0.6656701544593921,0.1132010154627279,0
197,1,0,0,0,4,1,0,0,0,0,0,0,0,2,0,1,3,0.36920777279521677,0.02535195015001154,0
198,1,0,1,1,66,1,0,1,2,2,2,0,2,2,1,1,0,0.8460388639760839,0.8091968612970228,0
199,1,0,1,1,70,0,1,0,2,0,2,2,2,2,2,0,0,0.4110612855007474,0.4761135471959382,0
200,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,1,2,0.5645241654210265,0.006473574890376183,1
201,1,0,0,0,58,1,2,1,0,2,2,0,2,2,1,1,0,0.8470353761833582,0.6922282483267943,1
202,1,1,0,0,47,1,2,1,0,0,0,0,2,0,0,1,1,0.6756352765321375,0.4438956842834064,0
203,0,1,0,0,4,1,0,1,0,0,0,0,2,0,0,1,2,0.6038863976083707,0.03161781675513502,1
204,0,0,1,1,57,1,0,0,2,0,2,2,0,0,1,1,3,0.4090682610861983,0.3756692822524809,0
205,0,0,0,0,15,1,0,1,0,0,2,0,2,2,0,1,1,0.7548579970104634,0.17154973459496886,0
206,0,0,0,0,24,1,2,1,0,0,0,2,0,2,0,1,2,0.7105132037867464,0.25854488806831294,0
207,0,0,0,0,20,1,0,2,1,1,1,1,1,1,1,1,1,0.010961634280019922,0.047882529425340416,0
208,1,1,1,0,61,1,2,1,0,2,2,2,2,0,1,1,3,0.7977080219232685,0.6978709900761597,0
209,0,0,1,0,16,0,1,0,0,0,0,2,2,2,0,1,2,0.3158943697060289,0.09132240941610895,1
210,0,0,1,0,72,1,2,1,0,2,0,0,2,2,2,1,1,0.7917289486796214,0.7905492730210016,0
211,0,1,0,0,14,0,1,0,2,0,2,2,0,0,2,0,3,0.21375186846038866,0.07772328640664668,0
212,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.27703039362232185,0.007102469420724671,1
213,1,0,1,1,64,1,2,1,2,2,2,0,0,0,0,1,2,0.7329347284504235,0.6856335102700207,0
214,1,0,1,0,30,1,0,2,1,1,1,1,1,1,1,0,1,0.01544593921275536,0.06437225940456959,0
215,1,0,1,0,64,1,2,1,2,2,2,0,0,0,1,0,0,0.709516691579472,0.6547253634894992,0
216,1,0,0,0,61,1,2,1,2,0,2,2,2,2,2,1,1,0.9302441454907822,0.7912820216939765,1
217,0,0,1,1,50,1,2,0,0,2,2,2,2,2,1,1,1,0.6567015445939214,0.47837525963535654,0
218,0,0,0,0,47,1,2,1,2,0,2,0,2,0,1,0,1,0.7638266068759343,0.5304004154165705,0
219,1,0,0,0,51,1,2,0,2,0,0,2,0,0,1,0,1,0.41504733432984553,0.3490422340180014,0
220,0,0,0,0,37,1,2,1,2,2,2,0,0,0,0,0,0,0.7269556552067763,0.38812600969305333,0
221,0,1,1,0,64,1,0,1,2,2,2,0,0,2,1,0,0,0.7847533632286996,0.7399146088160627,0
222,1,0,1,0,60,0,1,0,0,2,2,2,2,2,0,1,0,0.4180368709516692,0.41121624740364643,0
223,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,0.0179372197309417,0.0001442418647588273,0
224,1,0,1,0,14,1,0,0,0,2,2,2,2,2,2,0,3,0.6347782760338815,0.13419686129702285,0
225,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,2,0.5754857997010464,0.006600507731363951,1
226,0,0,1,1,17,1,2,1,0,0,2,0,2,0,0,0,2,0.6975585450921774,0.1663801061620125,1
227,1,0,0,0,63,1,2,1,2,2,2,2,2,0,1,0,1,0.85949177877429,0.7583660281560121,0
228,0,0,1,1,72,1,2,2,1,1,1,1,1,1,2,1,0,0.07972097658196312,0.22723863374105702,0
229,1,0,0,1,29,1,2,1,0,2,2,2,0,2,1,0,1,0.8201295465869456,0.3244461112393261,0
230,0,0,1,1,18,1,0,0,2,2,0,2,0,0,1,1,3,0.4309915296462382,0.1233152550196169,0
231,1,1,0,0,38,1,0,0,0,2,2,2,2,0,1,1,1,0.5171898355754859,0.2860085391183937,1
232,1,1,0,0,26,1,0,2,1,1,1,1,1,1,1,0,1,0.010463378176382654,0.05601200092314794,0
233,1,1,1,0,70,1,2,1,0,2,2,0,2,2,1,1,2,0.8624813153961135,0.8412358642972536,0
234,0,0,0,0,7,1,0,1,0,0,0,0,0,2,0,1,2,0.6083707025411061,0.058198707592891766,1
235,0,0,0,0,22,1,0,2,1,1,1,1,1,1,1,0,0,0.025909317389138015,0.04983267943687976,0
236,0,0,0,1,25,1,0,0,0,2,0,2,0,0,1,1,1,0.36372695565520685,0.1439591507039003,0
237,1,0,0,0,33,0,1,0,0,2,0,0,2,0,1,1,2,0.20777279521674138,0.1488806831294715,0
238,1,1,1,0,27,1,2,1,0,2,2,0,0,2,0,1,2,0.7703039362232187,0.28749134548811445,1
239,1,0,1,1,15,1,2,1,0,0,0,0,0,0,0,1,0,0.5645241654210265,0.12560004615739673,1
240,0,0,0,0,41,1,2,2,1,1,1,1,1,1,1,1,3,0.06576980568011959,0.10886798984537273,0
241,1,0,0,0,38,1,2,1,0,0,2,2,2,0,1,0,0,0.7648231190832088,0.41389337641357027,0
242,1,1,1,0,44,1,2,1,0,0,2,0,2,0,0,1,2,0.7070254110612856,0.46404338795291944,0
243,1,0,1,1,66,1,0,2,1,1,1,1,1,1,2,1,3,0.014947683109118065,0.1529771520886222,0
244,1,0,0,1,19,1,0,2,1,1,1,1,1,1,2,0,1,0.025909317389138015,0.05177705977382876,0
